Purchase Transaction ID,Purchase_DATEID,Ship Mode,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Type
7368,2/5/2022,Second Class,South,Furniture,Bookcases,261.96,2,0,41.9136,Second Class - Consumer
7369,1/26/2022,Second Class,South,Furniture,Chairs,731.94,3,0,219.582,Second Class - Consumer
7370,8/16/2022,Second Class,West,Office Supplies,Labels,14.62,2,0,6.8714,Second Class - Corporate
7371,5/28/2022,Standard Class,South,Furniture,Tables,957.5775,5,0.45,-383.031,Standard Class - Consumer
7372,9/5/2022,Standard Class,South,Office Supplies,Storage,22.368,2,0.2,2.5164,Standard Class - Consumer
7373,11/12/2022,Standard Class,West,Furniture,Furnishings,48.86,7,0,14.1694,Standard Class - Consumer
7374,11/15/2022,Standard Class,West,Office Supplies,Art,7.28,4,0,1.9656,Standard Class - Consumer
7375,3/16/2022,Standard Class,West,Technology,Phones,907.152,6,0.2,90.7152,Standard Class - Consumer
7376,8/19/2022,Standard Class,West,Office Supplies,Binders,18.504,3,0.2,5.7825,Standard Class - Consumer
7377,10/12/2022,Standard Class,West,Office Supplies,Appliances,114.9,5,0,34.47,Standard Class - Consumer
7378,9/3/2022,Standard Class,West,Furniture,Tables,1706.184,9,0.2,85.3092,Standard Class - Consumer
7379,10/26/2022,Standard Class,West,Technology,Phones,911.424,4,0.2,68.3568,Standard Class - Consumer
7380,4/3/2022,Standard Class,South,Office Supplies,Paper,15.552,3,0.2,5.4432,Standard Class - Consumer
7381,3/2/2022,Standard Class,West,Office Supplies,Binders,407.976,3,0.2,132.5922,Standard Class - Consumer
7382,4/14/2022,Standard Class,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858,Standard Class - Home Office
7383,4/16/2022,Standard Class,Central,Office Supplies,Binders,2.544,3,0.8,-3.816,Standard Class - Home Office
7384,12/10/2022,Standard Class,Central,Office Supplies,Storage,665.88,6,0,13.3176,Standard Class - Consumer
7385,4/14/2022,Second Class,West,Office Supplies,Storage,55.5,2,0,9.99,Second Class - Consumer
7386,3/6/2022,Second Class,West,Office Supplies,Art,8.56,2,0,2.4824,Second Class - Consumer
7387,3/4/2022,Second Class,West,Technology,Phones,213.48,3,0.2,16.011,Second Class - Consumer
7388,1/25/2022,Second Class,West,Office Supplies,Binders,22.72,4,0.2,7.384,Second Class - Consumer
7389,1/29/2022,Standard Class,Central,Office Supplies,Art,19.46,7,0,5.0596,Standard Class - Corporate
7390,11/27/2022,Standard Class,Central,Office Supplies,Appliances,60.34,7,0,15.6884,Standard Class - Corporate
7391,9/29/2022,Second Class,East,Furniture,Chairs,71.372,2,0.3,-1.0196,Second Class - Consumer
7392,9/29/2022,Standard Class,West,Furniture,Tables,1044.63,3,0,240.2649,Standard Class - Consumer
7393,7/8/2022,Second Class,West,Office Supplies,Binders,11.648,2,0.2,4.2224,Second Class - Consumer
7394,7/2/2022,Second Class,West,Technology,Accessories,90.57,3,0,11.7741,Second Class - Consumer
7395,10/23/2022,Standard Class,East,Furniture,Bookcases,3083.43,7,0.5,-1665.0522,Standard Class - Consumer
7396,2/14/2022,Standard Class,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,Standard Class - Consumer
7397,6/21/2022,Standard Class,East,Furniture,Furnishings,124.2,3,0.2,15.525,Standard Class - Consumer
7398,6/30/2022,Standard Class,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,Standard Class - Consumer
